dataset,error,expected_docs,id,matched,num_returned,query,query_type,returned_docs,returned_scores,top_k
ducks,,['assets/docs/duck_technology.md'],q1_bubble_shield,True,1,What is the Bubble Shield used by the Ducks and how does it work?,factual,['assets/docs/duck_technology.md'],[0.7508],3
ducks,,['assets/docs/duck_technology.md'],q2_hydro_thrusters,True,3,How do Duck starships move through space and what makes their propulsion unusual?,factual,"['assets/docs/duck_technology.md', 'assets/docs/the_duck_wars.md', 'assets/docs/galactic_gazetteer.md']","[0.8529, 0.7907, 0.7294]",3
ducks,,['assets/docs/duck_technology.md'],q3_squeak_drive,True,3,What is the Squeak Drive and what role does it play in Duck starship maneuverability?,factual,"['assets/docs/duck_technology.md', 'assets/docs/the_duck_wars.md', 'assets/docs/galactic_gazetteer.md']","[0.8339, 0.7836, 0.722]",3
ducks,,['assets/docs/duck_technology.md'],q4_wave_generator,True,1,What is the Wave Generator and how is it used as an offensive technology by the Ducks?,factual,['assets/docs/duck_technology.md'],[0.7567],3
ducks,,['assets/docs/duck_technology.md'],q5_duck_weapons,True,2,Describe the main offensive and defensive technologies used by the Quack-Federa-tion.,factual,"['assets/docs/duck_technology.md', 'assets/docs/the_duck_wars.md']","[0.8074, 0.7514]",3
ducks,,['assets/docs/the_duck_wars.md'],q6_duck_wars_enemy,True,2,Which civilization did the Quack-Federa-tion fight during the Great Duck Wars?,factual,"['assets/docs/the_duck_wars.md', 'assets/docs/duck_technology.md']","[0.8252, 0.7436]",3
ducks,,['assets/docs/the_duck_wars.md'],q7_duck_wars_trigger,True,3,How did the Great Duck Wars begin in the Celestial Bathtub nebula?,factual,"['assets/docs/the_duck_wars.md', 'assets/docs/galactic_gazetteer.md', 'assets/docs/duck_technology.md']","[0.849, 0.7694, 0.7287]",3
ducks,,['assets/docs/the_duck_wars.md'],q8_drainer_weapon,True,2,What was the 'Drainer' weapon used by the Spong and what threat did it pose to Duck ships?,factual,"['assets/docs/the_duck_wars.md', 'assets/docs/duck_technology.md']","[0.77, 0.7357]",3
ducks,,['assets/docs/the_duck_wars.md'],q9_battle_loofah_line,False,0,What happened at the Battle of the Loofah Line and why was it a turning point?,factual,[],[],3
ducks,,['assets/docs/the_duck_wars.md'],q10_waddles_wave,True,2,Explain the 'Waddles Wave' and how Commodore Waddles used it in the war.,factual,"['assets/docs/the_duck_wars.md', 'assets/docs/duck_technology.md']","[0.7205, 0.7111]",3
ducks,,['assets/docs/the_duck_wars.md'],q11_suds_admiral,True,2,Who was Admiral Suds and what was his role in the conflict with the Ducks?,factual,"['assets/docs/the_duck_wars.md', 'assets/docs/duck_technology.md']","[0.8079, 0.7006]",3
ducks,,['assets/docs/the_duck_wars.md'],q12_war_outcome,True,1,How did the Great Duck Wars end and what was the outcome for the Absorbant Empire of Spong?,factual,['assets/docs/the_duck_wars.md'],[0.801],3
ducks,,['assets/docs/galactic_gazetteer.md'],q13_soapstone,False,0,What is the planet Soapstone like and what resources does it contain?,factual,[],[],3
ducks,,['assets/docs/galactic_gazetteer.md'],q14_foam_giant,False,0,Describe the Foam Giant Suds-Alpha-2 and why it is difficult to explore.,factual,[],[],3
ducks,,['assets/docs/galactic_gazetteer.md'],q15_whirlpoolia,True,2,"What makes the planet Whirlpoolia unique, and where is the Duck outpost located?",factual,"['assets/docs/galactic_gazetteer.md', 'assets/docs/the_duck_wars.md']","[0.7679, 0.7244]",3
ducks,,['assets/docs/galactic_gazetteer.md'],q16_drain_stopper,True,1,What is known about the planetoid called the Drain Stopper and its properties?,factual,['assets/docs/galactic_gazetteer.md'],[0.7023],3
